NOM	CARRER	NÚM.	DISTRICTE	BARRI	CODI POSTAL	LOCALITAT	REGIÓ	PAÍS	LATITUD	LONGITUD	TELÈFON 1	TELÈFON 2	EMAIL
Bar Restaurant Habana Barcelona	C Escar	1	Ciutat Vella	la Barceloneta	08039	BARCELONA	BARCELONA	ESPANYA	41.37539852222222	2.18853675	+34 932250263	+34 932214467	habanabarcelona@habanabarcelona.com
Restaurant Free & Fresh	C Balmes	193	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08006	BARCELONA	BARCELONA	ESPANYA	41.39700243055555	2.1522896666666664	+34 934156224	---	---
Bar Pinocho	la Rambla	101	Ciutat Vella	el Raval	08002	BARCELONA	BARCELONA	ESPANYA	41.38267368611111	2.171678722222222	+34 933171731	---	---
Col·legi d'Arquitectes de Catalunya	Pl Nova	5	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38444698611111	2.175041361111111	+34 933067850	+34 933015000	---
Bar Glüh	Verdaguer i Callís	6	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38692916666667	2.1761466388888886	---	---	---
Bar Mandarina	Diputació	157	Eixample	l'Antiga Esquerra de l'Eixample	08011	BARCELONA	BARCELONA	ESPANYA	41.38415379722222	2.158560222222222	+34 933233393	---	---
Bar Restaurant El Último Agave	C Aragó	193	Eixample	l'Antiga Esquerra de l'Eixample	08011	BARCELONA	BARCELONA	ESPANYA	41.38786373055556	2.1588890277777777	+34 934549343	---	elultimoagave@elultimoagave.com
Restaurant Candela Raval	C Hospital	48	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.38072328888889	2.1711486944444442	+34 933010813	---	info@candelaraval.com
Hotel Claris	C Pau Claris	150	Eixample	la Dreta de l'Eixample	08009	BARCELONA	BARCELONA	ESPANYA	41.39445991388889	2.165013194444444	+34 934874647	+34 934876262	east47.bcn@derbyhotels.es
Restaurant Japonès Misaki	C Aribau	40	Eixample	l'Antiga Esquerra de l'Eixample	08011	BARCELONA	BARCELONA	ESPANYA	41.38759699444444	2.1605608333333333	+34 934513393	---	---
Restaurant La Locanda	C Doctor Joaquim Pou	4	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38595585	2.1755125555555552	+34 933174609	---	---
Gran Hotel Havana Barcelona	G.V. Corts Catalanes	647	Eixample	la Dreta de l'Eixample	08010	BARCELONA	BARCELONA	ESPANYA	41.39270169444445	2.1721956944444445	+34 934121115	+34 934122611	---
